fdc_id,data_type,description
1108609,branded_food,"HONEY BUZZERS CEREAL, HONEY BUZZERS"
1108610,branded_food,"CHOCOLATE FLAVORED SWEETENED RICE CEREAL WITH REAL COCOA, CHOCOLATE"
1108611,branded_food,"FRUIT FLAVOR SWEETENED RICE CEREAL, FRUIT"
1108612,branded_food,"ORIGINAL 100% WHOLE GRAIN SHREDDED WHEAT CEREAL, ORIGINAL"
1108614,branded_food,"CRISPY RICE CEREAL, CRISPY RICE"
1108615,branded_food,"MAPLE & BROWN SUGAR QUICK COOKING HOT WHEAT CEREAL, MAPLE & BROWN SUGAR"
1108616,branded_food,"CREAMY HOT WHEAT CEREAL, CREAMY HOT WHEAT"
1108617,branded_food,"GOLDEN PUFFS CEREAL, GOLDEN PUFFS"
1108618,branded_food,"GOLDEN PUFFS CEREAL, GOLDEN PUFFS"
1108997,branded_food,WHOLE GRAIN HOT CEREAL
1109548,branded_food,"RAISIN SPROUTED FLOURLESS FLAKE CEREAL, RAISIN"
1109568,branded_food,"HONEY GRAHAMS SWEETENED WHOLE GRAIN WHEAT AND CORN CEREAL, HONEY GRAHAMS"
1109830,branded_food,"NATURALLY FLAVORED SWEETENED RICE CEREAL WITH REAL COCOA, CRISPY COCOA RICE"
1109831,branded_food,"HONEY NUT TOASTED OATS CEREAL, HONEY NUT"
1110237,branded_food,WHOLE GRAIN CEREAL
1110240,branded_food,"RAISIN BRAN CEREAL, RAISIN BRAN"
1110241,branded_food,"FROSTED FLAKES CEREAL, FROSTED FLAKES"
1110696,branded_food,INSTANT HOT CEREAL
1110708,branded_food,"CINNAMON SUGAR FLAVORED INSTANT HOT CEREAL, CINNAMON SUGAR"
1111521,branded_food,"ORGANIC CORN FLAKES CEREAL LIGHTLY SWEETENED WITH ORGANIC CANE SUGAR, CORN"
1111544,branded_food,"ORIGINAL RIP'S BIG BOWL CEREAL, ORIGINAL"
1111595,branded_food,"RAINBOW MORNING O'S LIGHTLY SWEETENED CEREAL WITH WHOLE GRAIN GOODNESS, RAINBOW MORNING O'S WHOLE GRAIN"
1111654,branded_food,"MULTIGRAIN & CHIA TRIPLE BERRY INSTANT HOT CEREAL, MULTIGRAIN & CHIA TRIPLE BERRY"
1111690,branded_food,"CRISPY CINNAMON CRUNCH CEREAL, CRISPY CINNAMON CRUNCH"
1111739,branded_food,"KROGER, LIVING WELL, MULTI-GRAIN CEREAL, CINNAMON, CINNAMON"
1111760,branded_food,"EXTRA RAISINS WHEAT BRAN CEREAL WITH RAISINS, EXTRA RAISINS"
1111855,branded_food,"SWEETENED CORN & OAT CEREAL CRISPY CRUNCH BERRY TREATS, SWEETENED CORN & OAT CEREAL"
1111871,branded_food,"MARSHMALLOW MATEYS CEREAL, MARSHMALLOW MATEYS"
1111872,branded_food,"CORN BURSTS CEREAL, CORN BURSTS"
1111994,branded_food,"BERRIES BUNCH O'KRUNCH, SWEETENED CORN & OAT CEREAL, SWEETENED"
1111995,branded_food,"FROSTED FRUIT ROLLS SWEETENED, MULTIGRAIN, FRUIT-FLAVORED CEREAL, FROSTED FRUIT ROLLS"
1112056,branded_food,"SWEETENED NATURALLY APPLE FLAVORED MULTIGRAIN CEREAL, APPLE"
1112057,branded_food,"CINNAMON CRUNCH SWEETENED WHEAT AND RICE CEREAL, CINNAMON CRUNCH"
1112434,branded_food,"BREAKFAST MULTIGRAIN CEREAL, APPLE CINNAMON"
1112832,branded_food,"LOW FAT FRUIT & GRAIN CEREAL BAR, STRAWBERRY"
1112984,branded_food,"CINNABON INSTANT HOT CEREAL, CINNABON"
1113128,branded_food,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
1113356,branded_food,"SOFT YOGURT FILLED BISCUITS, CEREAL & VANILLA YOGURT"
1113387,branded_food,"SUPERFOOD HOT CEREAL, BLUEBERRY CHAI"
1113525,branded_food,"FRUIT & GRAIN CEREAL BARS, STRAWBERRY"
1113750,branded_food,"FRUIT & GRAIN CEREAL BARS, BLUEBERRY"
1114226,branded_food,"HONEY OATS & FLAKES CEREAL, HONEY OATS & FLAKES"
1114227,branded_food,"RICE SQUARES OVEN TOASTED RICE CEREAL, RICE SQUARES"
1115419,branded_food,"ORIGINAL MULTIGRAIN CEREAL, ORIGINAL"
1115447,branded_food,"BROWN SUGAR OATMEAL SQUARES CRUNCHY OAT CEREAL, BROWN SUGAR"
1115523,branded_food,"BLUEBERRY CEREAL BARS, BLUEBERRY"
1115524,branded_food,"MIXED BERRY CEREAL BARS, MIXED BERRY"
1115534,branded_food,"CEREAL BARS, STRAWBERRY"
1115590,branded_food,"PRINCESS, STRAWBERRY FLAVORED CEREAL WITH PRINCESS MARSHMALLOWS, STRAWBERRY"
1115611,branded_food,"CEREAL IN THE BISCUIT, OATS AND HONEY"
1115622,branded_food,"RED BERRIES CRUNCHY RICE & WHEAT FLAKES WITH REAL STRAWBERRIES CEREAL, RED BERRIES"
1115647,branded_food,"BLUEBERRY FLAVORED FRUIT & GRAIN CEREAL BARS, BLUEBERRY"
1115807,branded_food,"SHREDDED WHEAT BITE SIZE 100% WHOLE WHEAT CEREAL, SHREDDED WHEAT"
1115996,branded_food,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
1116057,branded_food,"S'MORES CEREAL, S'MORES"
1116128,branded_food,"ALMOND CRUNCHY HONEY OATS NATURAL HONEY FLAVORED MULTIGRAIN CEREAL WITH GRANOLA AND ALMONDS, ALMOND CRUNCHY HONEY OATS"
1116207,branded_food,"CORN FLAKES CEREAL, CORN FLAKES"
1116289,branded_food,"FRUIT & GRAIN APPLE CINNAMON CEREAL BARS, FRUIT & GRAIN APPLE CINNAMON"
1116325,branded_food,"FRUIT & GRAIN CEREAL BARS, MIXED BERRY"
1116759,branded_food,"CINNA-APPLE WALNUT WITH REAL APPLES INSTANT HOT CEREAL, CINNA-APPLE WALNUT WITH REAL APPLES"
1117129,branded_food,"SPRINKLED DONUT CRUNCH SWEETENED CORN & OAT CEREAL, SPRINKLED DONUT CRUNCH"
1117403,branded_food,"PEANUT BUTTER FLAVORED CEREAL, PEANUT BUTTER"
1117464,branded_food,"SWEETENED CEREAL WITH APPLE & CINNAMON CEREAL, APPLE & CINNAMON"
1117535,branded_food,"CHOCOLATEY PRETZEL CEREAL BARS, CHOCOLATEY PRETZEL"
1117555,branded_food,"CHOCOLATEY ALMOND CEREAL, CHOCOLATEY ALMOND"
1117578,branded_food,SWEETENED CORN & OAT CEREAL
1117854,branded_food,"MARSHMALLOW MATEYS CEREAL, MARSHMALLOW MATEYS"
1117855,branded_food,"FROSTED FLAKES CEREAL, FROSTED FLAKES"
1117856,branded_food,"FROSTED FLAKES CEREAL, FROSTED FLAKES"
1117857,branded_food,THE ORIGINAL CEREAL
1117858,branded_food,"FROSTED FLAKES CEREAL, FROSTED FLAKES"
1117964,branded_food,"CRUNCHY HONEY OATS NATURAL HONEY FLAVORED MULTIGRAIN CEREAL WITH GRANOLA, CRUNCHY HONEY OATS"
1117978,branded_food,"HONEY NUT HONEST O'S CEREAL, HONEY NUT"
1117989,branded_food,"SWEETENED CEREAL WITH ISLAND MARSHMALLOWS, ISLAND MARSHMALLOWS"
1118143,branded_food,"FRUIT FLAVOR SWEETENED RICE CEREAL, FRUIT"
1118157,branded_food,"FROSTED FLAKES CEREAL, FROSTED FLAKES"
1118158,branded_food,"GOLDEN PUFFS CEREAL, GOLDEN PUFFS"
1118183,branded_food,"SWEETENED RICE CEREAL, SWEETENED"
1118207,branded_food,"CHOCOLATE FLAVORED SWEETENED RICE CEREAL WITH REAL COCOA, CHOCOLATE"
1118475,branded_food,"MULTIGRAIN PUFFINS CEREAL, MULTIGRAIN"
1118528,branded_food,"BERRY COLOSSAL CRUNCH CEREAL, BERRY COLOSSAL CRUNCH"
1118568,branded_food,"CINNAMON OATMEAL SQUARES CRUNCHY OAT CEREAL, CINNAMON"
1118603,branded_food,"ORGANIC RIP'S POWER-UP BOWL DOUBLE BERRY HOT CEREAL, BERRY"
1118640,branded_food,"ORGANIC RIP'S POWER-UP BOWL ORIGINAL HOT CEREAL, ORIGINAL"
1118912,branded_food,"HONEY GRAHAMS SWEETENED WHOLE WHEAT AND CORN CEREAL, HONEY GRAHAMS"
1118913,branded_food,"GOLDEN HONEY O'S CEREAL, GOLDEN HONEY O'S"
1118914,branded_food,"HONEY OAT BLENDERS CEREAL, HONEY OAT BLENDERS"
1119033,branded_food,"TREASURES CEREAL, MARSHMALLOW"
1119101,branded_food,"SWEETENED FROSTED FLAKES OF CORN CEREAL, FROSTED FLAKES"
1119162,branded_food,CEREAL
1119396,branded_food,"TOASTED CINNAMON SQUARES SWEETENED WHOLE WHEAT AND RICE CEREAL WITH CINNAMON, TOASTED CINNAMON SQUARES"
1119537,branded_food,"CRUNCHY BRAN & RAISIN CEREAL, CRUNCHY BRAN & RAISIN"
1119561,branded_food,"CRISP RICE CEREAL BAR WITH MARSHMALLOW CREME, MARSHMALLOW CREME"
1119683,branded_food,"SWEETENED CORN CEREAL POPS, SWEETENED CORN"
1119692,branded_food,"NATURAL FRUIT FLAVORS SWEETENED MULTI-GRAIN CEREAL, NATURAL FRUIT"
1119749,branded_food,"BERRIES SWEETENED CORN & OAT CEREAL, BERRIES"
1119750,branded_food,"VANILLA MULTIGRAIN CEREAL, VANILLA"
1119862,branded_food,"VANILLA MULTIGRAIN CEREAL, VANILLA"
1119881,branded_food,"RAISIN BRAN WHEAT BRAN CEREAL WITH RAISINS, RAISIN BRAN"
1119901,branded_food,HIGH FIBER OAT BRAN HOT CEREAL
1119923,branded_food,"FRUITY CEREAL WITH WHITE CHOCOLATY-FLAVORED DRIZZLE CRISPY BAR, FRUITY CEREAL"
1119964,branded_food,"CINNAMON CEREAL FLAVORED REDUCED FAT ICE CREAM DIPPED IN A VANILLA FLAVORED COATING TOPPED WITH CINNAMON CEREAL PIECES ALL INSIDE A CINNAMON MINI CONES, CINNAMON CEREAL"
1120063,branded_food,"FAR OUT FRUITIES SWEETENED MULTIGRAIN CEREAL, FAR OUT FRUITIES"
1120269,branded_food,"HONEY CRUNCH & OATS FROSTED CORN AND WHEAT FLAKES CEREAL WITH GRANOLA CLUSTERS, HONEY CRUNCH & OATS"
1120310,branded_food,"COCOA NUT WITH REAL ALMONDS INSTANT HOT CEREAL, COCOA NUT WITH REAL ALMONDS"
1120324,branded_food,"HONEY BUZZERS CEREAL, HONEY BUZZERS"
1120340,branded_food,"BANANA WITH REAL WALNUTS INSTANT HOT CEREAL, BANANA WITH REAL WALNUTS"
1120355,branded_food,"MIXED BERRY FRUIT & GRAIN CEREAL BARS, MIXED BERRY"
1120409,branded_food,"PEANUT BUTTER & CHOCOLATE FLAVORS SWEETENED RICE CEREAL, PEANUT BUTTER & CHOCOLATE"
1120415,branded_food,"BUNCH O' CINNAMON SQUARES SWEETENED WHEAT & RICE CEREAL, BUNCH O' CINNAMON SQUARES"
1120468,branded_food,"SHREDDED WHEAT WHOLE GRAIN CEREAL WITH ONYX SORGHUM, SHREDDED WHEAT"
1120475,branded_food,"BLUEBERRY FRUIT & GRAIN CEREAL BARS, BLUEBERRY"
1120528,branded_food,"PEANUT BUTTER & CHOCOLATE FLAVORS SWEETENED RICE CEREAL, PEANUT BUTTER & CHOCOLATE"
1120726,branded_food,"CRUNCHY HONEY OATS NATURAL HONEY FLAVORED MULTIGRAIN CEREAL WITH GRANOLA, CRUNCHY HONEY OATS"
1120749,branded_food,"SHREDDED WHEAT WHOLE GRAIN WHEAT CEREAL, SHREDDED WHEAT"
1121175,branded_food,"FROSTED SHREDDED WHEAT SWEETENED, CRUNCHY, WHOLE GRAIN WHEAT CEREAL, FROSTED SHREDDED WHEAT"
1121181,branded_food,CORN FLAKES DELICIOUSLY CRISP AND GOLDEN CEREAL
1121232,branded_food,"FRUIT & GRAIN MEDLEY DELUXE CEREAL, FRUIT & GRAIN MEDLEY"
1121367,branded_food,FROSTED SWEETENED FLAKES OF CORN CEREAL
1121677,branded_food,"CHOCO CHIPPERS SWEETENED CORN CEREAL, CHOCO CHIPPERS"
1121748,branded_food,"FRUIT & GRAIN STRAWBERRY CEREAL BARS, STRAWBERRY"
1122007,branded_food,"TOASTED OAT LOOPS CEREAL, OAT LOOPS"
1122027,branded_food,"HONEY CRUNCH 'N OATS CRISPY FLAKES & CRUNCHY TOASTED OATS CEREAL WITH HONEY!, HONEY CRUNCH 'N OATS"
1122619,branded_food,"RAISIN BRAN CEREAL WITH CRUNCHY WHEAT FLAKES & LOADED WITH RAISINS, RAISIN BRAN"
1122621,branded_food,"HONEY NUT TOASTED OATS SWEETENED CEREAL WITH HONEY & ALMOND FLAVOR, HONEY NUT"
1122625,branded_food,"OATS & MORE, SWEETENED MULTIGRAIN CEREAL WITH REAL STRAWBERRIES, STRAWBERRIES"
1122626,branded_food,"OATS & MORE, SWEETENED MULTIGRAIN CEREAL WITH HONEY OAT CLUSTERS WITH HONEY, HONEY"
1122628,branded_food,"OAT SQUARES CRUNCHY OAT CEREAL WITH A SPRINKLE OF BROWN SUGAR, OAT SQUARES"
1122629,branded_food,"FRUITY JEWELS WHOLESOME SWEETENED RICE CEREAL, FRUITY JEWELS"
1122634,branded_food,"KOO-KIES SWEETENED CORN CEREAL, KOO-KIES"
1122700,branded_food,"HONEY NUT TOASTED O'S ORGANIC SWEETENED WHOLE GRAIN TOASTED OAT CEREAL WITH REAL HONEY AND NATURAL ALMOND FLAVOR, HONEY NUT TOASTED O'S"
1122714,branded_food,WHEAT BRAN FIBER CEREAL BUDS
1122738,branded_food,"TWIN GRAIN CRISP A BLEND OF CORN & RICE CEREAL, TWIN GRAIN CRISP"
1122740,branded_food,"FROSTED FLAKES SWEETENED, TOASTED FLAKES OF CORN CEREAL, FROSTED FLAKES"
1122743,branded_food,"OATS & MORE, SWEETENED MULTIGRAIN CEREAL WITH HONEY OAT CLUSTERS & ALMONDS, ALMONDS"
1122745,branded_food,"APPLE CINNAMON TOASTED OATS SWEETENED CEREAL, APPLE CINNAMON"
1122746,branded_food,BITE SIZE SHREDDED WHEAT 100% WHOLE GRAIN WHEAT CEREAL
1122748,branded_food,"MAGIC STARS, FROSTED TOASTED OAT CEREAL WITH MARSHMALLOWS, FROSTED WITH MARSHMALLOWS"
1122870,branded_food,"POWDERED MINI DONUTS CEREAL, POWDERED"
1122871,branded_food,"HONEY BUN CEREAL, HONEY BUN"
1122935,branded_food,"CHOCOLATE WHOLE GRAIN CEREAL, CHOCOLATE"
1122936,branded_food,"RASPBERRY FLAVORED WHOLE GRAIN CEREAL, RASPBERRY"
1122937,branded_food,"ORIGINAL CRUNCH CEREAL, ORIGINAL"
1122938,branded_food,"STRAWBERRY WHOLE GRAIN CEREAL, STRAWBERRY"
1122939,branded_food,"BLUEBERRY WHOLE GRAIN CEREAL, BLUEBERRY"
1122940,branded_food,"CINNAMON BROWN SUGAR CRUNCH CEREAL, CINNAMON BROWN SUGAR CRUNCH"
1122968,branded_food,"CORN SQUARES CRUNCHY, BITE-SIZE TOASTED CORN CEREAL CEREAL, CORN SQUARES"
1122972,branded_food,"CORN FLAKES CEREAL, CORN FLAKES"
1122973,branded_food,"COCOA CRAZY SWEETENED CORN CEREAL, COCOA CRAZY"
1123072,branded_food,"HONEY NUT HOOPS CEREAL, HONEY NUT HOOPS"
1123080,branded_food,"RAISIN DATE ALMOND MUESLI MULTIGRAIN, DRIED FRUIT, NUT AND SEED CEREAL, RAISIN DATE ALMOND"
1123258,branded_food,"SWEETENED CORN & OAT CEREAL, SWEETENED"
1123291,branded_food,"FRUIT RINGS MULTIGRAIN CEREAL, FRUIT RINGS"
1123293,branded_food,"RICE SQUARES CRUNCHY, BITE-SIZE, TOASTED RICE CEREAL, RICE SQUARES"
1123313,branded_food,"ENRICHED WHEAT BRAN WHOLE GRAIN WHEAT CEREAL WITH WHEAT BRAN, ENRICHED WHEAT BRAN"
1123365,branded_food,"PEANUT BUTTER COOKIE BITES CEREAL, PEANUT BUTTER"
1123538,branded_food,"CHOCOLATEY DELIGHT CRUNCHY WHEAT & RICE FLAKES WITH CHOCOLATEY PIECES CEREAL, CHOCOLATEY DELIGHT"
1123540,branded_food,"STRAWBERRY FLAVORED SWEETENED RICE CEREAL, STRAWBERRY"
1123542,branded_food,"RED BERRIES CRUNCHY WHEAT & RICE FLAKES CEREAL WITH REAL STRAWBERRIES, RED BERRIES"
1123556,branded_food,"DELICIOUS RAISINS AND CRANBERRIES BLENDED WITH CRISP BRAN FLAKES CEREAL, CRANBERRIES"
1123706,branded_food,"TOASTED OATS TOASTED WHOLE GRAIN OAT CEREAL, TOASTED OATS"
1123772,branded_food,"STRAWBERRY HAZELNUT CAULI HOT CEREAL, STRAWBERRY HAZELNUT"
1123854,branded_food,"CRISP RICE FAT FREE OVEN-TOASTED RICE CEREAL, CRISP RICE"
1123868,branded_food,"GRANOLA WITH OATS, WHEAT, HONEY & ALMONDS CEREAL, GRANOLA WITH OATS, WHEAT, HONEY & ALMONDS"
1123899,branded_food,"COOKIE DOUGH FLAVORED CEREAL WITH MARSHMALLOWS, COOKIE DOUGH"
1123917,branded_food,"POWDERED MINI DONUTS CEREAL, POWDERED"
1124173,branded_food,"SWEETENED CORN & OAT CEREAL, SWEETENED"
1124177,branded_food,"COCOA PEANUT BUTTER CEREAL, COCOA PEANUT BUTTER"
1124249,branded_food,"CEREAL MILK POPCAKES, CEREAL MILK"
1124308,branded_food,"APPLE LOONS, SWEETENED MULTI-GRAIN APPLE CEREAL, APPLE"
1124394,branded_food,"MILK & CEREAL BREAKFAST BISCUITS, MILK & CEREAL"
1124426,branded_food,"CRISPY RICE TOASTED RICE CEREAL, CRISPY RICE"
1124437,branded_food,"SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN"
1124475,branded_food,"RED BERRIES CRUNCHY WHEAT & RICE FLAKES CEREAL WITH REAL STRAWBERRIES, RED BERRIES"
1124562,branded_food,"PEANUT BUTTER & JELLY PUFFS SWEETENED CORN & OAT CEREAL, PEANUT BUTTER & JELLY PUFFS"
1124577,branded_food,"APPLE CINNAMON FRUIT & GRAIN CEREAL BARS, APPLE CINNAMON"
1124610,branded_food,"TOASTED OATS CEREAL, TOASTED OATS"
1124644,branded_food,"PUMPKIN FLAVORED CEREAL, PUMPKIN"
1124653,branded_food,"VANILLA GRANOLA CLUSTERS WHOLE GRAIN ROLLED OAT CLUSTERS CEREAL WITH ALMONDS, VANILLA"
1124655,branded_food,"FALL HARVEST WHOLE OAT CLUSTERS & MULTI-GRAIN FLAKES CEREAL WITH DRIED CRANBERRIES, PUMPKIN SEEDS & APPLES"
1124669,branded_food,"COTTON CANDY CRUNCH SWEETENED CORN & OAT CEREAL, COTTON CANDY"
1124772,branded_food,"TOASTED OATS WHOLE GRAIN OAT CEREAL, TOASTED OATS"
1124773,branded_food,"CORN FLAKES TOASTED CORN CEREAL, CORN FLAKES"
1124774,branded_food,"HONEY NUT TOASTED OATS SWEETENED TOASTED OAT CEREAL WITH HONEY & ALMONDS, HONEY NUT TOASTED OATS"
1124832,branded_food,"SUGAR FROSTED FLAKES SWEETENED CORN CEREAL, FROSTED FLAKES"
1124833,branded_food,TOASTED CRISP RICE CEREAL
1124834,branded_food,"FRUIT WHIRLS SWEETENED MULTI-GRAIN CEREAL, FRUIT WHIRLS"
1124835,branded_food,"SWEETENED MULTIGRAIN CEREAL WITH REAL APPLE WHIRLS & CINNAMON, APPLE WHIRLS & CINNAMON"
1124836,branded_food,"BERRY BUNCH O'KRUNCH SWEETENED CORN & OAT CEREAL, BERRY BUNCH O'KRUNCH"
1124841,branded_food,"MAGIC SHAPES SWEETENED TOASTED OAT CEREAL WITH MARSHMALLOWS, MARSHMALLOWS"
1125197,branded_food,"MULTIGRAIN WITH FLAX WITH OATS, WHEAT, RYE AND BARLEY INSTANT HOT CEREAL, MULTIGRAIN WITH FLAX"
1125255,branded_food,"PUMPKIN SPICE FLAVORED MULTIGRAIN CEREAL, PUMPKIN SPICE"
1125413,branded_food,"MARSHMALLOW DREAMS FROSTED WHOLE GRAIN OAT CEREAL WITH MARSHMALLOWS, MARSHMALLOW DREAMS"
1125420,branded_food,"SWEETENED MULTI-GRAIN CEREAL, SWEETENED"
1125559,branded_food,"CINNAMON ALMOND CAULI HOT CEREAL, CINNAMON ALMOND"
1125561,branded_food,SWEETENED CORN & OAT CEREAL
1125568,branded_food,"CINNAMON OF CORN CEREAL, CINNAMON"
1125577,branded_food,"FROSTED FLAKES SWEETENED CORN CEREAL, FROSTED FLAKES"
1125585,branded_food,"APPLE WOWS SWEETENED MULTI-GRAIN CEREAL & CINNAMON, APPLE WOWS"
1125660,branded_food,"LIGHTLY TOASTED CORN FLAKES CEREAL, LIGHTLY TOASTED"
1125661,branded_food,"ORIGINAL MULTIGRAIN SPOONFULS CEREAL, ORIGINAL MULTIGRAIN"
1125847,branded_food,"NEAPOLITAN VANILLA AND STRAWBERRY FLAVORED ICE CREAM SURROUND A LAYER OF CHOCOLATE GANACHE, ALL COATED IN MILK CHOCOLATE AND CEREAL CRUNCHIES DECADENT DELIGHTS BARS, NEAPOLITAN"
1125903,branded_food,"ORIGINAL FROSTED MINI WHEATS WHOLE GRAIN CEREAL, ORIGINAL"
1125980,branded_food,"HONEY GRAIN FREE CEREAL, HONEY"
1126171,branded_food,"TURTLE SPLASH, STRAWBERRY CHOCOLATE FLAVORED ORGANIC CEREAL, STRAWBERRY CHOCOLATE"
1126412,branded_food,"CINNAMON SQUARES ORGANIC CRUNCHY CEREAL, CINNAMON SQUARES"
1126526,branded_food,"FANTASTIC FRUIT WITH GLITTERY SPARKLES CEREAL, FANTASTIC FRUIT"
1126562,branded_food,"ORGANIC PEANUT BUTTER DOTS SWEETENED CORN & OAT CEREAL, PEANUT BUTTER DOTS"
1126641,branded_food,"FRUITY POST WORKOUT RECOVERY IOWHEY PROTEIN STRENGTH CEREAL, FRUITY"
1127452,branded_food,"CREAMY BUCKWHEAT HOT CEREAL, CREAMY BUCKWHEAT"
1127457,branded_food,"7 GRAIN HOT CEREAL, 7 GRAIN"
1127474,branded_food,"CEREAL OF CORN, CORN"
1128291,branded_food,"CINNAMON GRAIN FREE CEREAL, CINNAMON"
1128292,branded_food,"UNSWEETENED GRAIN FREE CEREAL, UNSWEETENED"
1128324,branded_food,"BLUEBERRY FLAVORED MUFFIN TOASTERS CEREAL, BLUEBERRY"
1128635,branded_food,"FROSTED SHREDDED WHEAT BITE SIZE WHOLE GRAIN WHEAT CEREAL, FROSTED SHREDDED WHEAT"
1129061,branded_food,"ORIGINAL TOASTED RICE CEREAL, ORIGINAL"
1129085,branded_food,"DARK CHOCOLATE KETO FRIENDLY CEREAL, DARK CHOCOLATE"
1129110,branded_food,"CINNAMON TOAST KETO CEREAL, CINNAMON TOAST"
1129189,branded_food,"FRUIT & GRAIN RASPBERRY CEREAL BARS, RASPBERRY"
1129297,branded_food,"APPLE CINNAMON HOT CEREAL WITH ROLLED OATS, RED QUINOA, BLACK CHIA, APPLE CINNAMON, ROLLED OATS, RED QUINOA, BLACK CHIA"
1129447,branded_food,"CINNAMON TOAST ICE CREAM WITH CINNAMON SUGAR SHORTBREAD PIECES AND A SWEET FROSTING SWIRL CEREAL BOWL, CINNAMON TOAST, CINNAMON SUGAR SHORTBREAD, SWEET FROSTING SWIRL"
1129471,branded_food,"FRUITY JURASSIC BITES SWEETENED RICE CEREAL, FRUITY"
1129657,branded_food,"SNICKERDOODLE DUNKSTERS SWEETENED CORN CEREAL DUSTED WITH SUGAR & CINNAMON, SNICKERDOODLE DUNKSTERS"
1129953,branded_food,"MARSHMALLOW FLAVORED CEREAL, MARSHMALLOW"
1130218,branded_food,"BANANA CRUNCHY WHEAT & RICE FLAKES CEREAL WITH REAL BANANAS, BANANA"
1130544,branded_food,"FALL MAPLE TRAIL MIX WITH A BLEND OF ROASTED SALTED PEANUTS, RAISINS, MAPLE GLAZED PECANS, MAPLE FLAVORED CEREAL SQUARES, YOGURT FLAVORED CHIPS & DRIED SWEETENED CRANBERRIES, FALL MAPLE"
1130795,branded_food,"PUFFED MULTIGRAIN CEREAL WITH PEANUT BUTTER, PEANUT BUTTER"
